"id","title","street_number","street_name","city","state_province","country","postal_code","website","email","distributor_number","responsibility_center","customer_posting_group","customer_price_group","customer_disc_group","contact","latitude","longitude"
"45944","Keramikbedarf Ing. Skokan GmbH.","","Rauchgasse 33","Vienna","","Austria","1120","https://www.skokan.at/48.17828605868169, 16.33179218341015","","","","","","","","48.17828605868169","16.33179218341015"
"45946","Keramika do skol","","Cs. armady 676","Chudim","","Czech Republic","53701","https://www.keramikadoskol.cz/eshop/","","","","","","","","49.94640","15.78989"
"45953","Keramik-Kraft – Zentrale","","Industriestr. 28","Leinburg","","Germany","91227","https://www.keramik-kraft.com/","","","","","","","","49.61032445791115","11.292597573235046"
"45961","Keramik-Kraft – Stuttgart","","May-Eyth-Str. 33","Nürtingen","","Germany","72622","https://www.keramik-kraft.com/","","","","","","","","52.36478946584714610652676020273377","10.652676020273377"
"45962","Keramik-Kraft – Österreich","","Energiestraße 10","Bad Vöslau","","Austria","2540","https://www.keramik-kraft.com/","","","","","","","","48.31012787770754","16.27346832576265"
"45956","Keramik-Kraft – Münster","","Rudolf-Diesel Str.57","Münster","","Germany","48157","https://www.keramik-kraft.com/","","","","","","","","51.9877074006877","7.66659298676536"
"45959","Keramik-Kraft – Kassel-Göttingen","","Bahnhofstraße 3","Hardegsen","","Germany","37181","https://www.keramik-kraft.com/","","","","","","","","51.74327893472171","9.740810800296753"
"45958","Keramik-Kraft – Hannover-Braunschweig","","Im Moorbusche 10","Cremlingen","","Germany","38162","https://www.keramik-kraft.com/","","","","","","","","52.41172473087784","10.630703364370323"
"45957","Keramik-Kraft – Hamburg","","Moorburger Elbdeich 263","Hamburg","","Germany","21079","https://www.keramik-kraft.com/","","","","","","","","53.65367946407714","9.971523687278788"
"45954","Keramik-Kraft – Frankfurt","","Schießstraße 65","Bruckköbel","","Germany","63486","https://www.keramik-kraft.com/","","","","","","","","50.3748479729601","8.990494751551491"
"45960","Keramik-Kraft – Chiemgau","","Heutauer Straße 15","Siegsdorf","","Germany","83313","https://www.keramik-kraft.com/","","","","","","","","48.031393347670985","12.75831682488311"
"45955","Keramik-Kraft – Aachen","","Neuhausstraße 4","Aachen","","Germany","52078","https://www.keramik-kraft.com/","","","","","","","","50.9076126198071","6.15378037412152"
"45968","Keramické Centrum","","Kolbenova 24","Praha","","Czech Republic","190 00","","","","","","","","","50.1461540759934","14.504077628669481"
"21349","Kentucky Mudworks, Llc.","","","Lexington","Kentucky","United States","40505","https://kymudworks.com","","","","DIST-US","","","","38.05414","-84.4540213"
"47515","Keane Ceramics","177","Debenham Road","Somersby","NSW","Australia","2250","https://keaneceramics.com.au/","","","","DIST-INTL","","","","-33.420120","151.306890"
"27617","Karla Von Ceramics","","","Rockford","Michigan","United States","49341","http://www.karlavonceramics.com/","","","","DIST-US","","","","43.117458","-85.532959"
"40913","Kamel Potteries","34","Ashfield Avenue","Durban, KZN","","South Africa","4001","","","","","DIST-INTL","","","","-29.807740","31.001340"
"45097","Jackpot Pottery","220 North State Road","Inside Common Ground Warehouse","Medina","Ohio","United States","44256","https://www.jack-potpottery.com/","","","","DIST-US","","","","41.141457","-81.878138"
"43825","Izoref (Head Office)","","","Atasehir","Istanbul","Turkey","34888","https://www.izoref.com","","","","DIST-INTL","","","","40.979870","29.165690"
"45825","Izoref (Ankara Branch)","Ferhatpasa Mah Anadolu Cad No:55","","Ostim","Ankara","Turkey","06374","https://www.izoref.com","","","","DIST-INTL","","","","39.983210","32.750100"
"45542","Hyatt’s Graphic Supply Co.","1941","Elmwood Ave","Buffalo","New York","United States","14207","https://www.hyatts.com/","","","","DIST-US","","","","42.950378","-78.876862"
"21285","Hus-10 Pottery Inc.","167-0022 3-15-8","Shimoigusa","Suginami-ku","Tokyo","Japan","","http://www.hus-10.com","","","","DIST-INTL","","","","35.700098","139.766845"
"21348","House Of Clay, Inc.","","","Oklahoma City","Oklahoma","United States","73118","https://thehouseofclay.com","","","","DIST-US","","","","35.5220651","-97.5301397"
"46214","Hot Clay","3","Havyat Business Park","Havyatt Rd, Wrington","Bristol","United Kingdom","BS40 5PA","https://www.hot-clay.com/","","","","DIST-INTL","","","","51.352320","-2.758380"
"27132","Hobi Seramik","","","Izmir","","Turkey","35030","https://www.hobiseramik.com","","","","DIST-INTL","","","","38.423733","27.142826"
"29845","Hobby World LLC","3243","Al Maadi St","Abdul Linjawi","","Saudi Arabia","21432","https://hwaiat.com","","","","DIST-INTL","","","","21.515400","39.165960"
"21347","Hobby Hut Ceramics","","","Canon City","Colorado","United States","81215","https://hobbyhutceramics.com","","","","DIST-US","","","","38.4316757","-105.2459919"
"21295","Hobby Ceramicraft Limited","","","Grazeley","Berkshire","United Kingdom","RG7 1JF","https://hobbyceramicraft.co.uk","","","","DIST-INTL","","","","51.3905507","-1.0081868"
"46719","Hilliard United Art & Education Sup.Co.","","","Hilliard","Ohio","United States","43026","https://www.unitednow.com","","","","CATALOG","","","","40.04033795311261","-83.1091327530026"
"21345","Highwater Clays Of Florida","","","Clearwater","Florida","United States","33762","https://highwaterclays.com","","","","DIST-US","","","","27.9006925","-82.6861446"
"45951","HEHO sklep dla ceramika","","Na szancach 6","Poznan","","Poland","61-663","https://sklep.heho.pl/","","","","","","","","52.42451439484282","16.94145588492933"
"21282","Hearty Ceramic Supply Co.","","","Tai Kok Tsui","","Hong Kong","999077","https://heartyceramic.com","","","","DIST-INTL","","","","22.3198474","114.1620857"
"21344","Glaser Ceramics Inc.","","","Lincoln","Nebraska","United States","68521","https://glaserceramics.com","","","","DIST-US","","","","40.8541169","-96.7172907"
"21343","Georgies Ceramic & Clay Co.","","","Portland","Oregon","United States","97211","https://georgies.com","","","","DIST-US","","","","45.5767359","-122.6386723"
"21342","Gem Ceramic Mold Co.","","","Denver","Pennsylvania","United States","17517","https://gemceramic.com","","","","DIST-US","","","","40.2331483","-76.1371683"
"21292","Fuljoy Co., LTD.","","","Taipei","","Taiwan","10542","https://frema.com.tw","","","","DIST-INTL","","","","25.0329694","121.5654177"
"21341","Free Form Clay & Supply","","","National City","California","United States","91950","https://freeformclay.com","","","","DIST-US","","","","32.6721599","-117.0970596"
"21373","Fort Wayne United Art & Education Sup.Co.","","","Fort Wayne","Indiana","United States","46809","https://www.unitednow.com","","","","CATALOG","","","","41.0005907","-85.2101269"
"21339","Florida Clay Art","","","Sanford","Florida","United States","32773","https://flclay.com","","","","DIST-US","","","","28.7405957","-81.2739073"
"21280","Fine Things Ltda.","","","Santiago","","Chile","8320000","https://www.finethings.cl/","","","","DIST-INTL","","","","-33.4488897","-70.6692655"
"51840","Fat Cat Pottery (Seaside)","1641","Seaside Rd SW","Ocean Isle Beach","North Carolina","United States","28469","https://www.fatcatpottery.com","","","","DIST-US","","","","33.899390","-78.487930"
"30300","Fat Cat Pottery","2500","Blue Clay Rd","Wilmington","North Carolina","United States","28405","https://www.fatcatpottery.com","","","","DIST-US","","","","34.284070","-77.913090"
"21338","Evans Ceramic Supply","","","Wichita","Kansas","United States","67211","https://evansceramics.com","","","","DIST-US","","","","37.67231","-97.3138554"
"45950","Eurokermiki P.C.","","Anatolikis Thrakis 4","Kalochori","","Greece","57009","http://www.eurokeramiki.gr/","","","","","","","","40.64494310587962","22.867968925030137"
"45972","Esmaltes y colorantes de la Rambla, S.L.","","Ronda 76","La Rambla","","Spain","14540","http://www.esmaltycolor.com/","","","","","","","","37.60464185367193","-4.741429237480292"
"45978","Esmaltes para Ceramica","52786","Naucalpan de Juárez","San Fernando","Mexico City","Mexico","11860","https://arteespacio.mx/","","","","DIST-INTL","","","","19.379870","-99.247250"
"28070","Eskiss/Coco Cadeaux SARL","183","Boulevard Pointe des Nègres","Fort-de-France","Martinique","France","97200","https://www.eskiss972.com","","","","DIST-INTL","","","","14.606340","-61.087070"
"35577","Engels, Merkel & CIA","AV. Naciones Unidas 1820","Chacra Rios Norte","Lima","Lima","Peru","15081","https://www.engelsmerkel.com.pe","","","","DIST-INTL","","","","-12.055660","-77.061850"
"47517","DVOE Ceramics","3A Usta Alima Street","","Tashkent","","Uzbekistan","100128","https://www.instagram.com/dvoeceramics/","","","","DIST-INTL","","","","41.264650","69.216270"
"21294","Duygu Seramik","Barbaros mah","","Kavaklıdere","Ankara","Turkey","06680","https://www.duyguseramikboya.com","","","","DIST-INTL","","","","39.900880","32.858180"
"45158","Duygu Seramik","Camikebir mah","Izmir","Seferihisar","Izmir","Turkey","35460","https://www.duyguseramikboya.com","","","","DIST-INTL","","","","38.226390","26.827990"
"56530","Dong Yong Ceramics","","","26, Dojayesul-ro 6beon-gil, Sindun-myeon","Icheon-si, Gyeonggi-do","South Korea","","https://doyoceramics.co.kr","","","","DIST-INTL","","","","37.29652","127.39001"
"27621","Dogwood Ceramic Supply Inc","","","Gulfport","Mississippi","United States","39503","https://www.dogwoodceramics.com","","","","DIST-US","","","","30.458130","-89.106000"
"29660","Distribuidora Glanaf Ltda","","Calle 71 #12-37","Bogotá","","Colombia","110231","http://arteyhobby.com/","","","","DIST-INTL","","","","4.657030","-74.060790"
"47881","DiamondCore Tools","680","W. Bradley Ave","El Cajon","California","United States","92020","https://diamondcoretools.com/","","","","DIST-CA","","","","532.817290","-116.969810"
"47350","De Pottenbakster bv","","Jellinghausstraat 10","5048 AZ Tilburg","","Netherlands","","https://www.keramiekenglazuur.nl","","","","DIST-INTL","","","","51.591680","5.050360"
"46720","Dayton United Art & Education Sup.Co.","","","Centerville","Ohio","United States","45459","https://www.unitednow.com","","","","CATALOG","","","","39.644173214723104","-84.18861339846937"
"21337","Davens Ceramic Center","","","Chamblee","Georgia","United States","30341","https://davensceramiccenter.com","","","","DIST-US","","","","33.8992049","-84.3016021"
"21336","Dakota Potters Supply, LLC.","","","Sioux Falls","South Dakota","United States","57104","https://dakotapotters.com","","","","DIST-US","","","","43.6032799","-96.7172907"
"52988","D&H Ceramics","6309 Grand Ave","","Duluth","Minnesota","United States","","https://www.dandhceramics.com","","","","","","","","46.733118","-92.177833"
"45108","D.B.I Pottery Supplies","","","Co. Cork","","Ireland","T12 PPN2","http://www.dbipottery.com/","","","","DIST-INTL","","","","52.22616010426224","-8.988040943818188"
"28401","Cromartie Hobbycraft","","Park Hall Road, Longton","Stoke-On-Trent, Staffordshire","","United Kingdom","ST3 5AY","https://www.cromartiehobbycraft.co.uk","","","","DIST-INTL","","","","52.992210","-2.098830"
"21335","Creative Crafts, Inc.","9370","Florida Blvd","Baton Rouge","Louisiana","United States","70815","https://http://www.creative-crafts.com","","","","DIST-US","","","","30.454380","-91.084520"
"21334","Creative Ceramics and Glass","","","Santa Rosa","California","United States","95403","https://creativeceramicsandglass.com","","","","DIST-US","","","","38.4739555","-122.7520139"
"27622","Creative Arts Center","","","Brewer","Maine","United States","4412","https://www.creativeartscenter.net","","","","DIST-US","","","","44.787250","-68.754180"
"28055","Creativa Arte & Hobby","928","Gabriel René Moreno","La Paz","","Bolivia","2826","https://www.facebook.com/Creativa.arte.y.hobby","","","","DIST-INTL","","","","-16.543150","-68.079990"
"21272","Creakor Bvba","","","Kortemark","","Belguim","8610","https://creakor.com","","","","DIST-INTL","","","","51.0258933","3.0076914"
"31203","Country Love Crafts","10","Curzon Road","Chilton Industrial Estate","Sudbury","United Kingdom","CO10 2XW","http://www.countrylovecrafts.com","","","","DIST-INTL","","","","52.041380","0.749430"
"45096","Cornell Studio Supplies","","","Dayton","Ohio","United States","45414","https://cornellstudiosupply.com/","","","","","","","","39.851555750344026","-84.19841063296882"
"45104","Corby Kilns","","","Kettering","Northamptonshire","United Kingdom","NN16 8PU","http://www.corbykilns.co.uk/","","","","","","","","52.49156677222209","-0.7407274239820152"
"45038","Continental Clay Company – Minnesota","1101","Stinson Blvd NE","Minneapolis","Minnesota","United States","55413","https://continentalclay.com","","","","DIST-US","","","","44.995290","-93.226920"
"21331","Continental Clay Company – Colorado","5303","East 47th Avenue","Denver","Colorado","United States","80216","https://continentalclay.com","","","","DIST-US","","","","39.781460","-105.92645"
"21330","Columbus Clay","","","Columbus","Ohio","United States","43212","https://columbusclay.com","","","","DIST-US","","","","39.9826396","-83.0415078"
"52578","CM Potteramics LLC","826 15th Ave","","East Moline","Illinois","United States","61244","","","","","DIST-US","","","","41.515853","-88.441628"
"47516","ClayStation","10, Temple Tree Road, S.T. Bed Ext.","","","Bangalore, KN","India","560047","https://online.claystation.in/","","","","DIST-INTL","","","","12.934860","77.635070"
"21327","Clayscapes Pottery, Inc.","","","Syracuse","New York","United States","13204","https://clayscapespottery.com","","","","DIST-US","","","","43.0513668","-76.1841701"
"21326","Clay-King","","","Spartanburg","South Carolina","United States","29307","https://clay-king.com","","","","DIST-US","","","","35.0140988","-81.8720881"
"32100","Clay Planet","","","Santa Clara","California","United States","95050","https://shop.clay-planet.com/?gclid=Cj0KCQjwna2FBhDPARIsACAEc_V0nZ-aDFCB8TY9tonLt8o3B3ZKEiTbtJuoZCWfG4G3rrC17RO8ZqUaAq0DEALw_wcB","","","","","","","","37.3708853","-122.0025719"
"40276","Clay People, Inc","623","South 32nd Street","Richmond","California","United States","94804","https://claypeople.net/","","","","DIST-CA","","","","37.923340","-122.338570"
"21325","Clay Arts Vegas, LLC.","","","Las Vegas","Nevada","United States","89102","https://clayartsvegas.com","","","","DIST-US","","","","36.1462673","-115.1829873"
